name,address,num_of_stations,coordinates
,,0,"43.591561,-79.545827"
,,0,"43.5880774,-79.5432067"
,,0,"43.754978,-79.1971289"
,,0,"43.6856,-79.3718"
,,0,"43.637764,-79.345359"
Spadina Subway Station,371 Bloor St W,4,"43.6629228,-79.4018451"
St. George Subway Station,323 Bloor St W,4,"43.6629228,-79.4018451"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6629228,-79.4018451"
Queen's Park Subway Station,505 University Ave,4,"43.6629228,-79.4018451"
Queen's Park Subway Station,505 University Ave,4,"43.660296,-79.397107"
St. George Subway Station,323 Bloor St W,4,"43.660296,-79.397107"
St Patrick Subway Station,449 University Ave,4,"43.660296,-79.397107"
Spadina Subway Station,371 Bloor St W,4,"43.660296,-79.397107"
,,0,"43.788319,-79.123505"
,,0,"43.7805505,-79.1301203"
,,0,"43.7777114,-79.1659711"
,,0,"43.779353,-79.193023"
,,0,"43.747854,-79.199327"
,,0,"43.7561681,-79.2026694"
,,0,"43.6002896,-79.5108692"
,,0,"43.6615467,-79.498398"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6632257,-79.4397052"
Bloor-Danforth Subway Line,,2,"43.6632257,-79.4397052"
,,0,"43.680095,-79.291714"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.691468,-79.288619"
Union Subway Station,55 Front St E,4,"43.645609,-79.380386"
St Patrick Subway Station,147 University Ave,4,"43.645609,-79.380386"
King Subway Station,70 Yonge St,4,"43.645609,-79.380386"
Osgoode SUBWAY Station,250 University Ave,4,"43.645609,-79.380386"
Queen's Park Subway Station,505 University Ave,5,"43.6591666666667,-79.3855555555556"
Dundas Subway Station,300 Yonge St,5,"43.6591666666667,-79.3855555555556"
St Patrick Subway Station,449 University Ave,5,"43.6591666666667,-79.3855555555556"
Wellesley Subway Station,551 Yonge St,5,"43.6591666666667,-79.3855555555556"
Osgoode SUBWAY Station,250 University Ave,5,"43.6591666666667,-79.3855555555556"
Dundas Subway Station,300 Yonge St,1,"43.658777,-79.369596"
,,0,"43.6625395,-79.5030161"
Future Subway Stop,846 Eglinton Ave W,1,"43.7004017,-79.4275305"
,,0,"43.77953,-79.45233"
,,0,"43.7774374,-79.4447096"
St. George Subway Station,323 Bloor St W,4,"43.6637403,-79.39806449999999"
Spadina Subway Station,371 Bloor St W,4,"43.6637403,-79.39806449999999"
Queen's Park Subway Station,505 University Ave,4,"43.6637403,-79.39806449999999"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6637403,-79.39806449999999"
,,0,"43.707045,-79.375437"
King Subway Station,70 Yonge St,5,"43.6495789,-79.3762096"
Union Subway Station,55 Front St E,5,"43.6495789,-79.3762096"
St Patrick Subway Station,147 University Ave,5,"43.6495789,-79.3762096"
Dundas Subway Station,300 Yonge St,5,"43.6495789,-79.3762096"
Osgoode SUBWAY Station,250 University Ave,5,"43.6495789,-79.3762096"
Spadina Subway Station,371 Bloor St W,4,"43.6637,-79.400053"
St. George Subway Station,323 Bloor St W,4,"43.6637,-79.400053"
Spadina Station North Entrance,68 Spadina Rd,4,"43.6637,-79.400053"
Queen's Park Subway Station,505 University Ave,4,"43.6637,-79.400053"
,,0,"43.690903,-79.4375028"
,,0,"43.643253094827294,-79.41230469904167"
,,0,"43.6029904,-79.4926867"
,,0,"43.6596299,-79.4799176"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6608333,-79.43166666666667"
Bloor-Danforth Subway Line,,2,"43.6608333,-79.43166666666667"
Lansdowne Subway Station,1287 Bloor St W,2,"43.66083333333333,-79.43583333333333"
Bloor-Danforth Subway Line,,2,"43.66083333333333,-79.43583333333333"
,,0,"43.69933,-79.39199"
,,0,"43.6653032,-79.4701178"
,,0,"43.6162721,-79.4990363"
,,0,"43.720645,-79.355474"
Dundas West Subway Station,1525 Bloor St W,1,"43.6641174,-79.4588522"
,,0,"43.6424558,-79.4296346"
,,0,"43.6954486,-79.4026176"
Coxwell Subway Station,1568 Danforth Ave,1,"43.6850809,-79.3149901"
Donlands Subway Station,990 Danforth Ave,4,"43.6800218,-79.3405681"
Pape Subway Station,743 Pape Ave,4,"43.6800218,-79.3405681"
Greenwood Subway Station,1177 Danforth Ave,4,"43.6800218,-79.3405681"
Chester Subway Station,22 Chester Ave,4,"43.6800218,-79.3405681"
,,0,"43.7842419,-79.1849889"
,,0,"43.6451308,-79.36536439999999"
,,0,"43.6482995,-79.3552533"
St Patrick Subway Station,449 University Ave,5,"43.65637299999999,-79.38781039999999"
Queen's Park Subway Station,505 University Ave,5,"43.65637299999999,-79.38781039999999"
Dundas Subway Station,300 Yonge St,5,"43.65637299999999,-79.38781039999999"
Osgoode SUBWAY Station,250 University Ave,5,"43.65637299999999,-79.38781039999999"
St Patrick Subway Station,147 University Ave,5,"43.65637299999999,-79.38781039999999"
St Patrick Subway Station,449 University Ave,5,"43.657838,-79.38631"
Queen's Park Subway Station,505 University Ave,5,"43.657838,-79.38631"
Dundas Subway Station,300 Yonge St,5,"43.657838,-79.38631"
Osgoode SUBWAY Station,250 University Ave,5,"43.657838,-79.38631"
Wellesley Subway Station,551 Yonge St,5,"43.657838,-79.38631"
,,0,"43.778015,-79.131911"
,,0,"43.672079,-79.470171"
,,0,"43.690237,-79.350119"
,,0,"43.70942,-79.39139"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.671389,-79.382919"
Sherbourne Subway Station,420 Bloor St E,4,"43.671389,-79.382919"
Wellesley Subway Station,551 Yonge St,4,"43.671389,-79.382919"
Rosedale Subway Station,1009 Yonge St,4,"43.671389,-79.382919"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.671561,-79.38117"
Sherbourne Subway Station,420 Bloor St E,4,"43.671561,-79.38117"
Wellesley Subway Station,551 Yonge St,4,"43.671561,-79.38117"
Rosedale Subway Station,1009 Yonge St,4,"43.671561,-79.38117"
Sherbourne Subway Station,420 Bloor St E,3,"43.669576,-79.375961"
Wellesley Subway Station,551 Yonge St,3,"43.669576,-79.375961"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.669576,-79.375961"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.669903,-79.387802"
Wellesley Subway Station,551 Yonge St,5,"43.669903,-79.387802"
Rosedale Subway Station,1009 Yonge St,5,"43.669903,-79.387802"
St. George Subway Station,323 Bloor St W,5,"43.669903,-79.387802"
Sherbourne Subway Station,420 Bloor St E,5,"43.669903,-79.387802"
St Clair Subway Station,1441 Yonge St,1,"43.693256,-79.383238"
Dundas West Subway Station,1525 Bloor St W,1,"43.65412449999999,-79.4636388"
Donlands Subway Station,990 Danforth Ave,3,"43.680207,-79.339243"
Pape Subway Station,743 Pape Ave,3,"43.680207,-79.339243"
Greenwood Subway Station,1177 Danforth Ave,3,"43.680207,-79.339243"
Bloor-Danforth Subway Line,,2,"43.6589882,-79.438715"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6589882,-79.438715"
,,0,"43.6741219,-79.4352208"
King Subway Station,70 Yonge St,2,"43.6469928,-79.3706665"
Union Subway Station,55 Front St E,2,"43.6469928,-79.3706665"
,,0,"43.683884,-79.36647"
Queen's Park Subway Station,505 University Ave,5,"43.6578449,-79.3899265"
St Patrick Subway Station,449 University Ave,5,"43.6578449,-79.3899265"
Dundas Subway Station,300 Yonge St,5,"43.6578449,-79.3899265"
Osgoode SUBWAY Station,250 University Ave,5,"43.6578449,-79.3899265"
Wellesley Subway Station,551 Yonge St,5,"43.6578449,-79.3899265"
St Patrick Subway Station,147 University Ave,5,"43.6477785,-79.3847928"
Osgoode SUBWAY Station,250 University Ave,5,"43.6477785,-79.3847928"
Union Subway Station,55 Front St E,5,"43.6477785,-79.3847928"
King Subway Station,70 Yonge St,5,"43.6477785,-79.3847928"
St Patrick Subway Station,449 University Ave,5,"43.6477785,-79.3847928"
Coxwell Subway Station,1568 Danforth Ave,1,"43.6856128,-79.31168269999999"
Summerhill Subway Station,1189 Yonge St,3,"43.681944,-79.390556"
Rosedale Subway Station,1009 Yonge St,3,"43.681944,-79.390556"
St Clair Subway Station,1441 Yonge St,3,"43.681944,-79.390556"
,,0,"43.671771,-79.324961"
,,0,"43.64534,-79.409597"
,,0,"43.6393107,-79.4408141"
,,0,"43.68306889999999,-79.279682"
,,0,"43.6626628,-79.3323698"
Donlands Subway Station,990 Danforth Ave,3,"43.681114,-79.3373885"
Greenwood Subway Station,1177 Danforth Ave,3,"43.681114,-79.3373885"
Pape Subway Station,743 Pape Ave,3,"43.681114,-79.3373885"
,,0,"43.638925,-79.4168659"
,,0,"43.676216,-79.309395"
King Subway Station,70 Yonge St,6,"43.652822,-79.378208"
Dundas Subway Station,300 Yonge St,6,"43.652822,-79.378208"
Osgoode SUBWAY Station,250 University Ave,6,"43.652822,-79.378208"
St Patrick Subway Station,147 University Ave,6,"43.652822,-79.378208"
Union Subway Station,55 Front St E,6,"43.652822,-79.378208"
St Patrick Subway Station,449 University Ave,6,"43.652822,-79.378208"
Dundas Subway Station,300 Yonge St,5,"43.656311,-79.379158"
St Patrick Subway Station,449 University Ave,5,"43.656311,-79.379158"
King Subway Station,70 Yonge St,5,"43.656311,-79.379158"
Osgoode SUBWAY Station,250 University Ave,5,"43.656311,-79.379158"
Queen's Park Subway Station,505 University Ave,5,"43.656311,-79.379158"
Dundas Subway Station,300 Yonge St,5,"43.656633,-79.379625"
St Patrick Subway Station,449 University Ave,5,"43.656633,-79.379625"
King Subway Station,70 Yonge St,5,"43.656633,-79.379625"
Osgoode SUBWAY Station,250 University Ave,5,"43.656633,-79.379625"
Queen's Park Subway Station,505 University Ave,5,"43.656633,-79.379625"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.686962,-79.286864"
,,0,"43.718039,-79.371914"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.672152,-79.39018"
Rosedale Subway Station,1009 Yonge St,4,"43.672152,-79.39018"
St. George Subway Station,323 Bloor St W,4,"43.672152,-79.39018"
Wellesley Subway Station,551 Yonge St,4,"43.672152,-79.39018"
,,0,"43.673019,-79.467994"
,,0,"43.72268,-79.37644"
Bloor-Danforth Subway Line,,2,"43.6504218,-79.4407647"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6504218,-79.4407647"
St Clair Subway Station,1441 Yonge St,2,"43.68850459999999,-79.3940052"
Summerhill Subway Station,1189 Yonge St,2,"43.68850459999999,-79.3940052"
St Patrick Subway Station,147 University Ave,1,"43.641705,-79.393295"
Jane Subway Station,2440 Bloor St W,1,"43.647663,-79.487583"
St Patrick Subway Station,449 University Ave,5,"43.6558557,-79.3894093"
Queen's Park Subway Station,505 University Ave,5,"43.6558557,-79.3894093"
Osgoode SUBWAY Station,250 University Ave,5,"43.6558557,-79.3894093"
Dundas Subway Station,300 Yonge St,5,"43.6558557,-79.3894093"
St Patrick Subway Station,147 University Ave,5,"43.6558557,-79.3894093"
,,0,"43.720998,-79.377456"
Lawrence Subway Station,3101 Yonge St,1,"43.72814640000001,-79.4032194"
Osgoode SUBWAY Station,250 University Ave,6,"43.652327224103,-79.3882538196087"
St Patrick Subway Station,449 University Ave,6,"43.652327224103,-79.3882538196087"
St Patrick Subway Station,147 University Ave,6,"43.652327224103,-79.3882538196087"
Dundas Subway Station,300 Yonge St,6,"43.652327224103,-79.3882538196087"
Queen's Park Subway Station,505 University Ave,6,"43.652327224103,-79.3882538196087"
King Subway Station,70 Yonge St,6,"43.652327224103,-79.3882538196087"
,,0,"43.6438602,-79.4227573"
,,0,"43.7093201,-79.3996301"
Jane Subway Station,2440 Bloor St W,1,"43.64920406876699,-79.49336334201408"
Osgoode SUBWAY Station,250 University Ave,6,"43.6503935,-79.3860211"
St Patrick Subway Station,147 University Ave,6,"43.6503935,-79.3860211"
St Patrick Subway Station,449 University Ave,6,"43.6503935,-79.3860211"
King Subway Station,70 Yonge St,6,"43.6503935,-79.3860211"
Union Subway Station,55 Front St E,6,"43.6503935,-79.3860211"
Dundas Subway Station,300 Yonge St,6,"43.6503935,-79.3860211"
,,0,"43.6399714,-79.39940399999999"
,,0,"43.68827060022711,-79.43937767081853"
Wellesley Subway Station,551 Yonge St,3,"43.6614605,-79.37894570000002"
Dundas Subway Station,300 Yonge St,3,"43.6614605,-79.37894570000002"
Queen's Park Subway Station,505 University Ave,3,"43.6614605,-79.37894570000002"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.69413548199171,-79.30058718775287"
Lawrence Subway Station,3101 Yonge St,1,"43.7254665,-79.40115449999999"
,,0,"43.7083577,-79.39886200000001"
Union Subway Station,55 Front St E,2,"43.640978,-79.376785"
King Subway Station,70 Yonge St,2,"43.640978,-79.376785"
,,0,"43.63840090000001,-79.4197107"
,,0,"43.7027268,-79.33368089999999"
,,0,"43.70567,-79.310554"
,,0,"43.635,-79.4088888888889"
,,0,"43.65678478285314,-79.35627385059036"
Lawrence Subway Station,3101 Yonge St,1,"43.732016,-79.403637"
Rosedale Subway Station,1009 Yonge St,3,"43.67515255542865,-79.38849615969643"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.67515255542865,-79.38849615969643"
Summerhill Subway Station,1189 Yonge St,3,"43.67515255542865,-79.38849615969643"
Broadview Subway Station,90 Danforth Ave,2,"43.67468857448634,-79.36701962396272"
Sherbourne Subway Station,420 Bloor St E,2,"43.67468857448634,-79.36701962396272"
,,0,"43.72736548824631,-79.3814254607724"
Summerhill Subway Station,1189 Yonge St,3,"43.6846177,-79.39245919999999"
St Clair Subway Station,1441 Yonge St,3,"43.6846177,-79.39245919999999"
Rosedale Subway Station,1009 Yonge St,3,"43.6846177,-79.39245919999999"
,,0,"43.645835578756525,-79.32088910859937"
York University Subway Station,120 Ian MacDonald Blvd,2,"43.77345,-79.5002"
Pioneer Village Subway Station,,2,"43.77345,-79.5002"
Coxwell Subway Station,1568 Danforth Ave,1,"43.686442,-79.313404"
Spadina Subway Station,371 Bloor St W,3,"43.66402799999999,-79.40297869999999"
St. George Subway Station,323 Bloor St W,3,"43.66402799999999,-79.40297869999999"
Spadina Station North Entrance,68 Spadina Rd,3,"43.66402799999999,-79.40297869999999"
,,0,"43.6544839,-79.34105699999999"
St Patrick Subway Station,147 University Ave,5,"43.6481303,-79.38632"
Osgoode SUBWAY Station,250 University Ave,5,"43.6481303,-79.38632"
Union Subway Station,55 Front St E,5,"43.6481303,-79.38632"
King Subway Station,70 Yonge St,5,"43.6481303,-79.38632"
St Patrick Subway Station,449 University Ave,5,"43.6481303,-79.38632"
Osgoode SUBWAY Station,250 University Ave,6,"43.65049,-79.3873"
St Patrick Subway Station,147 University Ave,6,"43.65049,-79.3873"
St Patrick Subway Station,449 University Ave,6,"43.65049,-79.3873"
King Subway Station,70 Yonge St,6,"43.65049,-79.3873"
Union Subway Station,55 Front St E,6,"43.65049,-79.3873"
Dundas Subway Station,300 Yonge St,6,"43.65049,-79.3873"
,,0,"43.64134790000001,-79.4013882"
Union Subway Station,55 Front St E,3,"43.64215,-79.377"
King Subway Station,70 Yonge St,3,"43.64215,-79.377"
St Patrick Subway Station,147 University Ave,3,"43.64215,-79.377"
Lansdowne Subway Station,1287 Bloor St W,3,"43.663337,-79.446444"
Bloor-Danforth Subway Line,,3,"43.663337,-79.446444"
Dundas West Subway Station,1525 Bloor St W,3,"43.663337,-79.446444"
,,0,"43.6392777,-79.4115736"
,,0,"43.645102,-79.39744979999999"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6602021,-79.4342726"
Bloor-Danforth Subway Line,,2,"43.6602021,-79.4342726"
,,0,"43.644887,-79.45641169999999"
Pape Subway Station,743 Pape Ave,3,"43.680012,-79.34403250000001"
Donlands Subway Station,990 Danforth Ave,3,"43.680012,-79.34403250000001"
Chester Subway Station,22 Chester Ave,3,"43.680012,-79.34403250000001"
Union Subway Station,55 Front St E,3,"43.641952,-79.380723"
St Patrick Subway Station,147 University Ave,3,"43.641952,-79.380723"
King Subway Station,70 Yonge St,3,"43.641952,-79.380723"
,,0,"43.637381,-79.406112"
,,0,"43.63811,-79.397877"
,,0,"43.64957,-79.432446"
Union Subway Station,55 Front St E,3,"43.64191,-79.378325"
King Subway Station,70 Yonge St,3,"43.64191,-79.378325"
St Patrick Subway Station,147 University Ave,3,"43.64191,-79.378325"
,,0,"43.6700692,-79.2971326"
Dundas Subway Station,300 Yonge St,2,"43.6559476,-79.37558829999999"
King Subway Station,70 Yonge St,2,"43.6559476,-79.37558829999999"
,,0,"43.707212,-79.2952873"
,,0,"43.6677628,-79.30811709999999"
,,0,"43.6750806,-79.3068697"
,,0,"43.6754247,-79.4547813"
,,0,"43.6467433,-79.446895"
,,0,"43.6409957,-79.40966630000001"
,,0,"43.6593483,-79.34993659999999"
,,0,"43.67168,-79.421192"
King Subway Station,70 Yonge St,4,"43.652634,-79.374222"
Dundas Subway Station,300 Yonge St,4,"43.652634,-79.374222"
Union Subway Station,55 Front St E,4,"43.652634,-79.374222"
St Patrick Subway Station,147 University Ave,4,"43.652634,-79.374222"
,,0,"43.6519501,-79.4060978"
,,0,"43.6613642,-79.3641171"
Greenwood Subway Station,1177 Danforth Ave,3,"43.6808774,-79.3304491"
Donlands Subway Station,990 Danforth Ave,3,"43.6808774,-79.3304491"
Coxwell Subway Station,1568 Danforth Ave,3,"43.6808774,-79.3304491"
,,0,"43.6623658,-79.3413344"
Greenwood Subway Station,1177 Danforth Ave,3,"43.6791345,-79.3263159"
Coxwell Subway Station,1568 Danforth Ave,3,"43.6791345,-79.3263159"
Donlands Subway Station,990 Danforth Ave,3,"43.6791345,-79.3263159"
King Subway Station,70 Yonge St,2,"43.6478206,-79.3704721"
Union Subway Station,55 Front St E,2,"43.6478206,-79.3704721"
,,0,"43.635495,-79.40352209999999"
Coxwell Subway Station,1568 Danforth Ave,1,"43.6868681,-79.3110942"
,,0,"43.678177,-79.435364"
St Clair Subway Station,1441 Yonge St,1,"43.6962302,-79.39504339999999"
,,0,"43.667076,-79.425116"
,,0,"43.649217,-79.465319"
,,0,"43.68005,-79.43469"
,,0,"43.675648,-79.4527619"
Spadina Subway Station,371 Bloor St W,3,"43.6677246,-79.4041365"
Spadina Station North Entrance,68 Spadina Rd,3,"43.6677246,-79.4041365"
St. George Subway Station,323 Bloor St W,3,"43.6677246,-79.4041365"
Wellesley Subway Station,551 Yonge St,4,"43.66496415990742,-79.38355031526893"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.66496415990742,-79.38355031526893"
Queen's Park Subway Station,505 University Ave,4,"43.66496415990742,-79.38355031526893"
Dundas Subway Station,300 Yonge St,4,"43.66496415990742,-79.38355031526893"
Osgoode SUBWAY Station,250 University Ave,1,"43.648437,-79.39838"
Sherbourne Subway Station,420 Bloor St E,2,"43.6673,-79.374"
Wellesley Subway Station,551 Yonge St,2,"43.6673,-79.374"
Osgoode SUBWAY Station,250 University Ave,6,"43.6517925,-79.38269509999999"
St Patrick Subway Station,147 University Ave,6,"43.6517925,-79.38269509999999"
King Subway Station,70 Yonge St,6,"43.6517925,-79.38269509999999"
Dundas Subway Station,300 Yonge St,6,"43.6517925,-79.38269509999999"
St Patrick Subway Station,449 University Ave,6,"43.6517925,-79.38269509999999"
Union Subway Station,55 Front St E,6,"43.6517925,-79.38269509999999"
,,0,"43.6372958,-79.4423237"
,,0,"43.6554793,-79.4302462"
,,0,"43.686352,-79.415894"
,,0,"43.6442457,-79.41610440000001"
York University Subway Station,120 Ian MacDonald Blvd,2,"43.7741,-79.5005"
Pioneer Village Subway Station,,2,"43.7741,-79.5005"
,,0,"43.683979,-79.410657"
Osgoode SUBWAY Station,250 University Ave,2,"43.6472019,-79.3953394"
St Patrick Subway Station,147 University Ave,2,"43.6472019,-79.3953394"
,,0,"43.6513927,-79.35794659999999"
Wellesley Subway Station,551 Yonge St,4,"43.6647688,-79.3772602"
Sherbourne Subway Station,420 Bloor St E,4,"43.6647688,-79.3772602"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.6647688,-79.3772602"
Dundas Subway Station,300 Yonge St,4,"43.6647688,-79.3772602"
King Subway Station,70 Yonge St,6,"43.6506,-79.381285"
St Patrick Subway Station,147 University Ave,6,"43.6506,-79.381285"
Osgoode SUBWAY Station,250 University Ave,6,"43.6506,-79.381285"
Union Subway Station,55 Front St E,6,"43.6506,-79.381285"
Dundas Subway Station,300 Yonge St,6,"43.6506,-79.381285"
St Patrick Subway Station,449 University Ave,6,"43.6506,-79.381285"
,,0,"43.6408346,-79.3429074"
Bloor-Danforth Subway Line,,2,"43.6586525,-79.440502"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6586525,-79.440502"
Dundas West Subway Station,1525 Bloor St W,3,"43.6585504,-79.4497659"
Lansdowne Subway Station,1287 Bloor St W,3,"43.6585504,-79.4497659"
Bloor-Danforth Subway Line,,3,"43.6585504,-79.4497659"
,,0,"43.6484201,-79.40051919999999"
,,0,"43.6461512,-79.3998214"
,,0,"43.693187,-79.314283"
,,0,"43.6425791,-79.40011729999999"
King Subway Station,70 Yonge St,3,"43.6469251,-79.3733192"
Union Subway Station,55 Front St E,3,"43.6469251,-79.3733192"
St Patrick Subway Station,147 University Ave,3,"43.6469251,-79.3733192"
,,0,"43.644395,-79.40065430000001"
St Patrick Subway Station,147 University Ave,4,"43.6463574,-79.391206"
Osgoode SUBWAY Station,250 University Ave,4,"43.6463574,-79.391206"
Union Subway Station,55 Front St E,4,"43.6463574,-79.391206"
St Patrick Subway Station,449 University Ave,4,"43.6463574,-79.391206"
Sherbourne Subway Station,420 Bloor St E,1,"43.6682342,-79.3702641"
Rosedale Subway Station,1009 Yonge St,2,"43.6791876,-79.39071899999999"
Summerhill Subway Station,1189 Yonge St,2,"43.6791876,-79.39071899999999"
St. George Subway Station,323 Bloor St W,4,"43.674446,-79.398331"
Spadina Station North Entrance,68 Spadina Rd,4,"43.674446,-79.398331"
Rosedale Subway Station,1009 Yonge St,4,"43.674446,-79.398331"
Spadina Subway Station,371 Bloor St W,4,"43.674446,-79.398331"
,,0,"43.6334636,-79.4143057"
,,0,"43.6352007,-79.4187711"
Jane Subway Station,2440 Bloor St W,1,"43.6501644,-79.48296909999999"
,,0,"43.636804,-79.408832"
Wellesley Subway Station,551 Yonge St,3,"43.6658804,-79.38761010000002"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.6658804,-79.38761010000002"
Queen's Park Subway Station,505 University Ave,3,"43.6658804,-79.38761010000002"
,,0,"43.68035,-79.28357"
,,0,"43.6535052,-79.3667689"
,,0,"43.70241858146351,-79.2563167072858"
,,0,"43.68824135931814,-79.27046628033244"
,,0,"43.691688,-79.265027"
,,0,"43.697490048103,-79.25655146462776"
,,0,"43.69401297794256,-79.26257204548136"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.6929478,-79.28339980000001"
,,0,"43.6950192,-79.27180659999999"
,,0,"43.69263249999999,-79.4627536"
,,0,"43.7105975,-79.2541175"
,,0,"43.69415,-79.45782580000001"
St. George Subway Station,323 Bloor St W,5,"43.668500046272165,-79.3946235999697"
Bloor-Yonge Subway Station,20 Bloor St E,5,"43.668500046272165,-79.3946235999697"
Spadina Subway Station,371 Bloor St W,5,"43.668500046272165,-79.3946235999697"
Spadina Station North Entrance,68 Spadina Rd,5,"43.668500046272165,-79.3946235999697"
Wellesley Subway Station,551 Yonge St,5,"43.668500046272165,-79.3946235999697"
,,0,"43.70163,-79.44099"
,,0,"43.688028,-79.460265"
,,0,"43.68323,-79.455765"
,,0,"43.69466,-79.45376999999999"
Chester Subway Station,22 Chester Ave,3,"43.6784834,-79.3513564"
Pape Subway Station,743 Pape Ave,3,"43.6784834,-79.3513564"
Broadview Subway Station,90 Danforth Ave,3,"43.6784834,-79.3513564"
,,0,"43.65016869999999,-79.4963345"
Royal York Subway Station,3012 Bloor St W,1,"43.6492,-79.50601999999999"
Victoria Park Subway Station,777 Victoria Park Ave,1,"43.6897656,-79.2939525"
,,0,"43.6537513,-79.4028245"
,,0,"43.6357643,-79.4674917"
Royal York Subway Station,3012 Bloor St W,1,"43.64839,-79.51008"
,,0,"43.62369169999999,-79.4838132"
,,0,"43.648657,-79.458111"
Sherbourne Subway Station,420 Bloor St E,4,"43.671293,-79.380471"
Bloor-Yonge Subway Station,20 Bloor St E,4,"43.671293,-79.380471"
Wellesley Subway Station,551 Yonge St,4,"43.671293,-79.380471"
Rosedale Subway Station,1009 Yonge St,4,"43.671293,-79.380471"
,,0,"43.69932707258943,-79.4493630391668"
,,0,"43.63560589999999,-79.4934616"
,,0,"43.7611741,-79.5114452"
St Patrick Subway Station,147 University Ave,1,"43.6428899,-79.3946346"
,,0,"43.7603624,-79.5162777"
,,0,"43.62313,-79.4918"
Pioneer Village Subway Station,,2,"43.772445,-79.511912"
York University Subway Station,120 Ian MacDonald Blvd,2,"43.772445,-79.511912"
,,0,"43.653359,-79.365023"
,,0,"43.70643614257429,-79.25104443353288"
Dundas Subway Station,300 Yonge St,2,"43.655972,-79.370638"
King Subway Station,70 Yonge St,2,"43.655972,-79.370638"
Wellesley Subway Station,551 Yonge St,3,"43.666874,-79.381155"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.666874,-79.381155"
Sherbourne Subway Station,420 Bloor St E,3,"43.666874,-79.381155"
