name,address,yelp_num_stations,coordinates
Queen Station,171 Yonge Street,7.0,"43.65637299999999,-79.38781039999999"
Queen's Park Subway Station,129 College Street,7.0,"43.65637299999999,-79.38781039999999"
King Station,3 King Street E,7.0,"43.65637299999999,-79.38781039999999"
Queen Subway Station,8 Queen Street W,7.0,"43.65637299999999,-79.38781039999999"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.657838,-79.38631"
St Patrick Subway Station,449 University Avenue,7.0,"43.657838,-79.38631"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.657838,-79.38631"
Queen Station,171 Yonge Street,7.0,"43.657838,-79.38631"
Queen's Park Subway Station,129 College Street,7.0,"43.657838,-79.38631"
King Station,3 King Street E,7.0,"43.657838,-79.38631"
Queen Subway Station,8 Queen Street W,7.0,"43.657838,-79.38631"
Rouge Hill GO,6251 Lawrence Ave E,1.0,"43.778015,-79.131911"
Museum Subway Station,75 Queen's Park,4.0,"43.671389,-79.382919"
Bloor-Yonge Subway Station,20 Bloor Street E,4.0,"43.671389,-79.382919"
Wellesley Subway Station,16 Wellesley Street E,4.0,"43.671389,-79.382919"
Bay Subway Station,1240 Bay Street,4.0,"43.671389,-79.382919"
Museum Subway Station,75 Queen's Park,4.0,"43.671561,-79.38117"
Bloor-Yonge Subway Station,20 Bloor Street E,4.0,"43.671561,-79.38117"
Wellesley Subway Station,16 Wellesley Street E,4.0,"43.671561,-79.38117"
Bay Subway Station,1240 Bay Street,4.0,"43.671561,-79.38117"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.669576,-79.375961"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.669576,-79.375961"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.669576,-79.375961"
Museum Subway Station,75 Queen's Park,5.0,"43.669903,-79.387802"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.669903,-79.387802"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.669903,-79.387802"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.669903,-79.387802"
Bay Subway Station,1240 Bay Street,5.0,"43.669903,-79.387802"
High Park Subway Station,35 Quebec Avenue,2.0,"43.65412449999999,-79.4636388"
Keele Subway Station,21 Keele Street,2.0,"43.65412449999999,-79.4636388"
Pape Subway Station,743 Pape Avenue,2.0,"43.680207,-79.339243"
Greenwood Yard,400 Greenwood Avenue,2.0,"43.680207,-79.339243"
Ossington Subway Station,746 Ossington Avenue,3.0,"43.6589882,-79.438715"
Dufferin Subway Station,1006 Dufferin Street,3.0,"43.6589882,-79.438715"
Bloor GO Station,1456 Bloor Street W,3.0,"43.6589882,-79.438715"
Union Station,65 Front Street W,5.0,"43.6469928,-79.3706665"
VIA Rail Canada,65 Front Street  W,5.0,"43.6469928,-79.3706665"
King Station,3 King Street E,5.0,"43.6469928,-79.3706665"
Queen Station,171 Yonge Street,5.0,"43.6469928,-79.3706665"
Queen Subway Station,8 Queen Street W,5.0,"43.6469928,-79.3706665"
Broadview Subway Station,769 Broadview Avenue,1.0,"43.683884,-79.36647"
St Patrick Subway Station,449 University Avenue,7.0,"43.6578449,-79.3899265"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.6578449,-79.3899265"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.6578449,-79.3899265"
Queen Station,171 Yonge Street,7.0,"43.6578449,-79.3899265"
Queen's Park Subway Station,129 College Street,7.0,"43.6578449,-79.3899265"
King Station,3 King Street E,7.0,"43.6578449,-79.3899265"
Queen Subway Station,8 Queen Street W,7.0,"43.6578449,-79.3899265"
Union Station,65 Front Street W,6.0,"43.6477785,-79.3847928"
VIA Rail Canada,65 Front Street  W,6.0,"43.6477785,-79.3847928"
St Patrick Subway Station,449 University Avenue,6.0,"43.6477785,-79.3847928"
Queen Station,171 Yonge Street,6.0,"43.6477785,-79.3847928"
King Station,3 King Street E,6.0,"43.6477785,-79.3847928"
Queen Subway Station,8 Queen Street W,6.0,"43.6477785,-79.3847928"
Main Street Subway Station,315 Main Street,2.0,"43.6856128,-79.31168269999999"
Danforth GO,213 Main Street,2.0,"43.6856128,-79.31168269999999"
Summerhill Subway Station,16 Shaftesbury Ave,1.0,"43.681944,-79.390556"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.671771,-79.324961"
Pape Subway Station,743 Pape Avenue,2.0,"43.681114,-79.3373885"
Greenwood Yard,400 Greenwood Avenue,2.0,"43.681114,-79.3373885"
Exhibition GO Station,Manitoba Drive,1.0,"43.638925,-79.4168659"
Union Station,65 Front Street W,7.0,"43.652822,-79.378208"
VIA Rail Canada,65 Front Street  W,7.0,"43.652822,-79.378208"
Queen Station,171 Yonge Street,7.0,"43.652822,-79.378208"
St Patrick Subway Station,449 University Avenue,7.0,"43.652822,-79.378208"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.652822,-79.378208"
King Station,3 King Street E,7.0,"43.652822,-79.378208"
Queen Subway Station,8 Queen Street W,7.0,"43.652822,-79.378208"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.656311,-79.379158"
Queen Station,171 Yonge Street,7.0,"43.656311,-79.379158"
St Patrick Subway Station,449 University Avenue,7.0,"43.656311,-79.379158"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.656311,-79.379158"
King Station,3 King Street E,7.0,"43.656311,-79.379158"
Queen's Park Subway Station,129 College Street,7.0,"43.656311,-79.379158"
Queen Subway Station,8 Queen Street W,7.0,"43.656311,-79.379158"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.656633,-79.379625"
St Patrick Subway Station,449 University Avenue,7.0,"43.656633,-79.379625"
Queen Station,171 Yonge Street,7.0,"43.656633,-79.379625"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.656633,-79.379625"
King Station,3 King Street E,7.0,"43.656633,-79.379625"
Queen's Park Subway Station,129 College Street,7.0,"43.656633,-79.379625"
Queen Subway Station,8 Queen Street W,7.0,"43.656633,-79.379625"
Museum Subway Station,75 Queen's Park,4.0,"43.672152,-79.39018"
Bloor-Yonge Subway Station,20 Bloor Street E,4.0,"43.672152,-79.39018"
Wellesley Subway Station,16 Wellesley Street E,4.0,"43.672152,-79.39018"
Bay Subway Station,1240 Bay Street,4.0,"43.672152,-79.39018"
Bloor GO Station,1456 Bloor Street W,1.0,"43.6504218,-79.4407647"
Summerhill Subway Station,16 Shaftesbury Ave,1.0,"43.68850459999999,-79.3940052"
Old Mill Station,2672 Bloor Street W,3.0,"43.647663,-79.487583"
Jane Station,15 Jane Street,3.0,"43.647663,-79.487583"
Runnymede Station,265 Runnymede Road,3.0,"43.647663,-79.487583"
St Patrick Subway Station,449 University Avenue,6.0,"43.6558557,-79.3894093"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.6558557,-79.3894093"
Queen Station,171 Yonge Street,6.0,"43.6558557,-79.3894093"
Queen's Park Subway Station,129 College Street,6.0,"43.6558557,-79.3894093"
King Station,3 King Street E,6.0,"43.6558557,-79.3894093"
Queen Subway Station,8 Queen Street W,6.0,"43.6558557,-79.3894093"
Union Station,65 Front Street W,7.0,"43.652327224103,-79.3882538196087"
VIA Rail Canada,65 Front Street  W,7.0,"43.652327224103,-79.3882538196087"
St Patrick Subway Station,449 University Avenue,7.0,"43.652327224103,-79.3882538196087"
Queen Station,171 Yonge Street,7.0,"43.652327224103,-79.3882538196087"
King Station,3 King Street E,7.0,"43.652327224103,-79.3882538196087"
Queen's Park Subway Station,129 College Street,7.0,"43.652327224103,-79.3882538196087"
Queen Subway Station,8 Queen Street W,7.0,"43.652327224103,-79.3882538196087"
Exhibition GO Station,Manitoba Drive,1.0,"43.6438602,-79.4227573"
Old Mill Station,2672 Bloor Street W,2.0,"43.64920406876699,-79.49336334201408"
Jane Station,15 Jane Street,2.0,"43.64920406876699,-79.49336334201408"
Union Station,65 Front Street W,6.0,"43.6503935,-79.3860211"
VIA Rail Canada,65 Front Street  W,6.0,"43.6503935,-79.3860211"
St Patrick Subway Station,449 University Avenue,6.0,"43.6503935,-79.3860211"
Queen Station,171 Yonge Street,6.0,"43.6503935,-79.3860211"
King Station,3 King Street E,6.0,"43.6503935,-79.3860211"
Queen Subway Station,8 Queen Street W,6.0,"43.6503935,-79.3860211"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.6614605,-79.37894570000002"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.6614605,-79.37894570000002"
St Patrick Subway Station,449 University Avenue,5.0,"43.6614605,-79.37894570000002"
Queen's Park Subway Station,129 College Street,5.0,"43.6614605,-79.37894570000002"
Bay Subway Station,1240 Bay Street,5.0,"43.6614605,-79.37894570000002"
Main Street Subway Station,315 Main Street,2.0,"43.69413548199171,-79.30058718775287"
Danforth GO,213 Main Street,2.0,"43.69413548199171,-79.30058718775287"
Union Station,65 Front Street W,3.0,"43.640978,-79.376785"
VIA Rail Canada,65 Front Street  W,3.0,"43.640978,-79.376785"
King Station,3 King Street E,3.0,"43.640978,-79.376785"
Exhibition GO Station,Manitoba Drive,1.0,"43.63840090000001,-79.4197107"
Exhibition GO Station,Manitoba Drive,1.0,"43.635,-79.4088888888889"
Museum Subway Station,75 Queen's Park,4.0,"43.67515255542865,-79.38849615969643"
Bloor-Yonge Subway Station,20 Bloor Street E,4.0,"43.67515255542865,-79.38849615969643"
Bay Subway Station,1240 Bay Street,4.0,"43.67515255542865,-79.38849615969643"
Summerhill Subway Station,16 Shaftesbury Ave,4.0,"43.67515255542865,-79.38849615969643"
Broadview Subway Station,769 Broadview Avenue,1.0,"43.67468857448634,-79.36701962396272"
Summerhill Subway Station,16 Shaftesbury Ave,1.0,"43.6846177,-79.39245919999999"
TTC York University,120 Ian Macdonald Boulevard,2.0,"43.77345,-79.5002"
Pioneer Village Station,2800 Steeles Ave W,2.0,"43.77345,-79.5002"
Main Street Subway Station,315 Main Street,1.0,"43.686442,-79.313404"
Museum Subway Station,75 Queen's Park,4.0,"43.66402799999999,-79.40297869999999"
Spadina Subway Station,6 Spadina Road,4.0,"43.66402799999999,-79.40297869999999"
Bathurst Subway Station,819 Bathurst Street,4.0,"43.66402799999999,-79.40297869999999"
Queen's Park Subway Station,129 College Street,4.0,"43.66402799999999,-79.40297869999999"
Union Station,65 Front Street W,6.0,"43.6481303,-79.38632"
VIA Rail Canada,65 Front Street  W,6.0,"43.6481303,-79.38632"
St Patrick Subway Station,449 University Avenue,6.0,"43.6481303,-79.38632"
Queen Station,171 Yonge Street,6.0,"43.6481303,-79.38632"
King Station,3 King Street E,6.0,"43.6481303,-79.38632"
Queen Subway Station,8 Queen Street W,6.0,"43.6481303,-79.38632"
Union Station,65 Front Street W,6.0,"43.65049,-79.3873"
VIA Rail Canada,65 Front Street  W,6.0,"43.65049,-79.3873"
St Patrick Subway Station,449 University Avenue,6.0,"43.65049,-79.3873"
Queen Station,171 Yonge Street,6.0,"43.65049,-79.3873"
King Station,3 King Street E,6.0,"43.65049,-79.3873"
Queen Subway Station,8 Queen Street W,6.0,"43.65049,-79.3873"
Union Station,65 Front Street W,3.0,"43.64215,-79.377"
VIA Rail Canada,65 Front Street  W,3.0,"43.64215,-79.377"
King Station,3 King Street E,3.0,"43.64215,-79.377"
Bloor GO Station,1456 Bloor Street W,2.0,"43.663337,-79.446444"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.663337,-79.446444"
Exhibition GO Station,Manitoba Drive,1.0,"43.6392777,-79.4115736"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.6602021,-79.4342726"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.6602021,-79.4342726"
Pape Subway Station,743 Pape Avenue,2.0,"43.680012,-79.34403250000001"
Chester Station,22 Chester Avenue,2.0,"43.680012,-79.34403250000001"
Union Station,65 Front Street W,3.0,"43.641952,-79.380723"
VIA Rail Canada,65 Front Street  W,3.0,"43.641952,-79.380723"
King Station,3 King Street E,3.0,"43.641952,-79.380723"
Union Station,65 Front Street W,3.0,"43.64191,-79.378325"
VIA Rail Canada,65 Front Street  W,3.0,"43.64191,-79.378325"
King Station,3 King Street E,3.0,"43.64191,-79.378325"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.6559476,-79.37558829999999"
Queen Station,171 Yonge Street,5.0,"43.6559476,-79.37558829999999"
St Patrick Subway Station,449 University Avenue,5.0,"43.6559476,-79.37558829999999"
King Station,3 King Street E,5.0,"43.6559476,-79.37558829999999"
Queen Subway Station,8 Queen Street W,5.0,"43.6559476,-79.37558829999999"
Exhibition GO Station,Manitoba Drive,1.0,"43.6409957,-79.40966630000001"
Bathurst Subway Station,819 Bathurst Street,1.0,"43.67168,-79.421192"
Union Station,65 Front Street W,6.0,"43.652634,-79.374222"
VIA Rail Canada,65 Front Street  W,6.0,"43.652634,-79.374222"
Queen Station,171 Yonge Street,6.0,"43.652634,-79.374222"
King Station,3 King Street E,6.0,"43.652634,-79.374222"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.652634,-79.374222"
Queen Subway Station,8 Queen Street W,6.0,"43.652634,-79.374222"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.6808774,-79.3304491"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.6791345,-79.3263159"
Union Station,65 Front Street W,5.0,"43.6478206,-79.3704721"
VIA Rail Canada,65 Front Street  W,5.0,"43.6478206,-79.3704721"
Queen Station,171 Yonge Street,5.0,"43.6478206,-79.3704721"
King Station,3 King Street E,5.0,"43.6478206,-79.3704721"
Queen Subway Station,8 Queen Street W,5.0,"43.6478206,-79.3704721"
Main Street Subway Station,315 Main Street,2.0,"43.6868681,-79.3110942"
Danforth GO,213 Main Street,2.0,"43.6868681,-79.3110942"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.667076,-79.425116"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.667076,-79.425116"
High Park Subway Station,35 Quebec Avenue,3.0,"43.649217,-79.465319"
Keele Subway Station,21 Keele Street,3.0,"43.649217,-79.465319"
Runnymede Station,265 Runnymede Road,3.0,"43.649217,-79.465319"
Spadina Subway Station,6 Spadina Road,3.0,"43.6677246,-79.4041365"
Museum Subway Station,75 Queen's Park,3.0,"43.6677246,-79.4041365"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.6677246,-79.4041365"
Museum Subway Station,75 Queen's Park,6.0,"43.66496415990742,-79.38355031526893"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.66496415990742,-79.38355031526893"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.66496415990742,-79.38355031526893"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.66496415990742,-79.38355031526893"
Bay Subway Station,1240 Bay Street,6.0,"43.66496415990742,-79.38355031526893"
Queen's Park Subway Station,129 College Street,6.0,"43.66496415990742,-79.38355031526893"
St Patrick Subway Station,449 University Avenue,1.0,"43.648437,-79.39838"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.6673,-79.374"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.6673,-79.374"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.6673,-79.374"
Union Station,65 Front Street W,7.0,"43.6517925,-79.38269509999999"
VIA Rail Canada,65 Front Street  W,7.0,"43.6517925,-79.38269509999999"
St Patrick Subway Station,449 University Avenue,7.0,"43.6517925,-79.38269509999999"
Queen Station,171 Yonge Street,7.0,"43.6517925,-79.38269509999999"
King Station,3 King Street E,7.0,"43.6517925,-79.38269509999999"
Queen's Park Subway Station,129 College Street,7.0,"43.6517925,-79.38269509999999"
Queen Subway Station,8 Queen Street W,7.0,"43.6517925,-79.38269509999999"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.6554793,-79.4302462"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.6554793,-79.4302462"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.686352,-79.415894"
Exhibition GO Station,Manitoba Drive,1.0,"43.6442457,-79.41610440000001"
TTC York University,120 Ian Macdonald Boulevard,2.0,"43.7741,-79.5005"
Pioneer Village Station,2800 Steeles Ave W,2.0,"43.7741,-79.5005"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.683979,-79.410657"
St Patrick Subway Station,449 University Avenue,1.0,"43.6472019,-79.3953394"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.6647688,-79.3772602"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.6647688,-79.3772602"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.6647688,-79.3772602"
Union Station,65 Front Street W,7.0,"43.6506,-79.381285"
VIA Rail Canada,65 Front Street  W,7.0,"43.6506,-79.381285"
Queen Station,171 Yonge Street,7.0,"43.6506,-79.381285"
St Patrick Subway Station,449 University Avenue,7.0,"43.6506,-79.381285"
King Station,3 King Street E,7.0,"43.6506,-79.381285"
Queen Subway Station,8 Queen Street W,7.0,"43.6506,-79.381285"
Queen's Park Subway Station,129 College Street,7.0,"43.6506,-79.381285"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6586525,-79.440502"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.6586525,-79.440502"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6585504,-79.4497659"
Keele Subway Station,21 Keele Street,2.0,"43.6585504,-79.4497659"
St Patrick Subway Station,449 University Avenue,1.0,"43.6461512,-79.3998214"
Main Street Subway Station,315 Main Street,1.0,"43.693187,-79.314283"
Union Station,65 Front Street W,5.0,"43.6469251,-79.3733192"
VIA Rail Canada,65 Front Street  W,5.0,"43.6469251,-79.3733192"
King Station,3 King Street E,5.0,"43.6469251,-79.3733192"
Queen Station,171 Yonge Street,5.0,"43.6469251,-79.3733192"
Queen Subway Station,8 Queen Street W,5.0,"43.6469251,-79.3733192"
Union Station,65 Front Street W,5.0,"43.6463574,-79.391206"
VIA Rail Canada,65 Front Street  W,5.0,"43.6463574,-79.391206"
St Patrick Subway Station,449 University Avenue,5.0,"43.6463574,-79.391206"
Queen Station,171 Yonge Street,5.0,"43.6463574,-79.391206"
Queen Subway Station,8 Queen Street W,5.0,"43.6463574,-79.391206"
Broadview Subway Station,769 Broadview Avenue,1.0,"43.6682342,-79.3702641"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.6791876,-79.39071899999999"
Bay Subway Station,1240 Bay Street,3.0,"43.6791876,-79.39071899999999"
Summerhill Subway Station,16 Shaftesbury Ave,3.0,"43.6791876,-79.39071899999999"
Museum Subway Station,75 Queen's Park,5.0,"43.674446,-79.398331"
Spadina Subway Station,6 Spadina Road,5.0,"43.674446,-79.398331"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.674446,-79.398331"
Bay Subway Station,1240 Bay Street,5.0,"43.674446,-79.398331"
Summerhill Subway Station,16 Shaftesbury Ave,5.0,"43.674446,-79.398331"
Exhibition GO Station,Manitoba Drive,1.0,"43.6334636,-79.4143057"
Exhibition GO Station,Manitoba Drive,1.0,"43.6352007,-79.4187711"
Jane Station,15 Jane Street,3.0,"43.6501644,-79.48296909999999"
Old Mill Station,2672 Bloor Street W,3.0,"43.6501644,-79.48296909999999"
Runnymede Station,265 Runnymede Road,3.0,"43.6501644,-79.48296909999999"
Exhibition GO Station,Manitoba Drive,1.0,"43.636804,-79.408832"
Museum Subway Station,75 Queen's Park,6.0,"43.6658804,-79.38761010000002"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.6658804,-79.38761010000002"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.6658804,-79.38761010000002"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.6658804,-79.38761010000002"
Bay Subway Station,1240 Bay Street,6.0,"43.6658804,-79.38761010000002"
Queen's Park Subway Station,129 College Street,6.0,"43.6658804,-79.38761010000002"
King Station,3 King Street E,1.0,"43.6535052,-79.3667689"
Scarborough GO Station,3615 Saint Clair Avenue E,1.0,"43.7105975,-79.2541175"
Museum Subway Station,75 Queen's Park,7.0,"43.668500046272165,-79.3946235999697"
Spadina Subway Station,6 Spadina Road,7.0,"43.668500046272165,-79.3946235999697"
Bloor-Yonge Subway Station,20 Bloor Street E,7.0,"43.668500046272165,-79.3946235999697"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.668500046272165,-79.3946235999697"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.668500046272165,-79.3946235999697"
Bay Subway Station,1240 Bay Street,7.0,"43.668500046272165,-79.3946235999697"
Queen's Park Subway Station,129 College Street,7.0,"43.668500046272165,-79.3946235999697"
Eglinton West Subway Station,1300 Eglinton Avenue W,1.0,"43.70163,-79.44099"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.6784834,-79.3513564"
Pape Subway Station,743 Pape Avenue,3.0,"43.6784834,-79.3513564"
Chester Station,22 Chester Avenue,3.0,"43.6784834,-79.3513564"
Old Mill Station,2672 Bloor Street W,2.0,"43.65016869999999,-79.4963345"
Jane Station,15 Jane Street,2.0,"43.65016869999999,-79.4963345"
Old Mill Station,2672 Bloor Street W,1.0,"43.6492,-79.50601999999999"
Main Street Subway Station,315 Main Street,2.0,"43.6897656,-79.2939525"
Danforth GO,213 Main Street,2.0,"43.6897656,-79.2939525"
Queen's Park Subway Station,129 College Street,1.0,"43.6537513,-79.4028245"
Keele Subway Station,21 Keele Street,3.0,"43.648657,-79.458111"
High Park Subway Station,35 Quebec Avenue,3.0,"43.648657,-79.458111"
Bloor GO Station,1456 Bloor Street W,3.0,"43.648657,-79.458111"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.671293,-79.380471"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.671293,-79.380471"
Bay Subway Station,1240 Bay Street,3.0,"43.671293,-79.380471"
Mimico GO Station,"Toronto, ON",1.0,"43.62313,-79.4918"
Pioneer Village Station,2800 Steeles Ave W,1.0,"43.772445,-79.511912"
Dundas Station,"Toronto, ON M5B 1J3",4.0,"43.655972,-79.370638"
Queen Station,171 Yonge Street,4.0,"43.655972,-79.370638"
King Station,3 King Street E,4.0,"43.655972,-79.370638"
Queen Subway Station,8 Queen Street W,4.0,"43.655972,-79.370638"
Museum Subway Station,75 Queen's Park,6.0,"43.666874,-79.381155"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.666874,-79.381155"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.666874,-79.381155"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.666874,-79.381155"
Bay Subway Station,1240 Bay Street,6.0,"43.666874,-79.381155"
Queen's Park Subway Station,129 College Street,6.0,"43.666874,-79.381155"
